,formula,defectid,site,valence_ratio_Crsyal,Eb_sum,Eb_sum_bva,Vr_max,Eg,Ev
1081,Al1Fe1O3,0113386,1,0.7525445021619432,9.835116770537915,7.401363053789035,-1.2626789622871115,1.9542,4.6654
1087,Al1Fe1O3,0113386,2,0.9039077122185317,9.835116770537915,8.890037899459042,-1.2626789622871115,1.9542,5.5057
1093,Al1Fe1O3,0113386,3,0.8792336378919081,9.835116770537915,8.647365497251768,-1.2626789622871115,1.9542,3.7559
1099,Al1Fe1O3,0113386,4,0.8941087204042295,9.835116770537915,8.793663670731835,-1.2626789622871115,1.9542,4.4172
1105,Al1Fe1O3,0113386,5,0.8504224614091831,9.835116770537915,8.364004212247591,-1.2626789622871115,1.9542,3.3084
1111,Al1Fe1O3,0113386,6,0.9978862511137718,9.835116770537915,9.81432780341827,-1.2626789622871115,1.9542,5.9504
1117,Ba1Fe1O3,0115344,1,,,,,0.6255,0.5393
1126,Ba1Fe1O3,0115344,1,,,,-1.2626789622871115,0.6255,0.5393
1127,Ba1Fe1O3,0115344,2,,,,,0.6255,0.5346
1136,Ba1Fe1O3,0115344,2,,,,-1.2626789622871115,0.6255,0.5346
1137,Ba1Fe1O3,0115344,3,,,,,0.6255,0.2815
1146,Ba1Fe1O3,0115344,3,,,,-1.2626789622871115,0.6255,0.2815
1147,Ba1Fe1O3,0115344,4,,,,,0.6255,0.4659
1156,Ba1Fe1O3,0115344,4,,,,-1.2626789622871115,0.6255,0.4659
1157,Ba1Fe1O3,0115344,5,,,,,0.6255,1.0307
1166,Ba1Fe1O3,0115344,5,,,,-1.2626789622871115,0.6255,1.0307
1167,Ba1Fe1O3,0115344,6,,,,,0.6255,1.2079
1176,Ba1Fe1O3,0115344,6,,,,-1.2626789622871115,0.6255,1.2079
1177,Ba1Fe1O3,0115344,7,,,,,0.6255,1.2223
1186,Ba1Fe1O3,0115344,7,,,,-1.2626789622871115,0.6255,1.2223
1187,Ba1Fe1O3,0115344,8,,,,,0.6255,1.1015
1196,Ba1Fe1O3,0115344,8,,,,-1.2626789622871115,0.6255,1.1015
1197,Ba1Fe1O3,0115344,9,,,,,0.6255,1.2119
1206,Ba1Fe1O3,0115344,9,,,,-1.2626789622871115,0.6255,1.2119
1207,Ba1Fe1O3,0115344,10,,,,,0.6255,0.8996
1216,Ba1Fe1O3,0115344,10,,,,-1.2626789622871115,0.6255,0.8996
1217,Ba1Fe2O4,0115470,1,0.8341595553493362,6.082746544354578,5.073981152741526,-1.2626789622871115,2.5877,3.805
1227,Ba1Fe2O4,0115470,2,0.76852016781808,6.082746544354578,4.674713395062226,-1.2626789622871115,2.5877,3.6714
1237,Ba1Fe2O4,0115470,3,0.8267570677627087,6.082746544354578,5.02895369695434,-1.2626789622871115,2.5877,3.7144
1247,Ba1Fe2O4,0115470,4,0.6570749450526894,6.082746544354578,3.9968203514012206,-1.2626789622871115,2.5877,3.0333
1257,Ba1Fe2O4,0115470,5,0.6903934760599738,6.082746544354578,4.19948853074875,-1.2626789622871115,2.5877,3.0827
1267,Ba2Fe6O11,0116531,1,0.7907443476170003,6.322043292945554,4.999119999286664,-1.2626789622871115,1.454,3.3653
1311,Ba2Fe6O11,0116531,2,0.8390336224876189,6.322043292945554,5.3044068856036635,-1.2626789622871115,1.454,3.5308
1355,Ba2Fe6O11,0116531,3,0.8381446776918022,6.322043292945554,5.298786938119472,-1.2626789622871115,1.454,3.6066
1399,Ba2Fe6O11,0116531,4,0.8043738804041207,6.322043292945554,5.085286495629461,-1.2626789622871115,1.454,3.4672
1443,Ba2Fe6O11,0116531,5,0.8370311675474288,6.322043292945554,5.291747278779609,-1.2626789622871115,1.454,3.2971
1487,Ba2Fe6O11,0116531,6,0.8300894571441869,6.322043292945554,5.247861485083223,-1.2626789622871115,1.454,3.4083
1531,Ba2Fe6O11,0116531,7,0.8368594596783466,6.322043292945554,5.290661734197531,-1.2626789622871115,1.454,3.5175
1575,Ba2Fe6O11,0116531,8,0.8294815647988091,6.322043292945554,5.244018363358294,-1.2626789622871115,1.454,3.2533
1619,Ba2Fe6O11,0116531,9,0.7195237076564787,6.322043292945554,4.548860030104959,-1.2626789622871115,1.454,3.658
1663,Ba2Fe6O11,0116531,10,0.6996799032703578,6.322043292945554,4.423406639679159,-1.2626789622871115,1.454,3.7312
1707,Ba2Fe6O11,0116531,11,0.6888225998488688,6.322043292945554,4.35476629740386,-1.2626789622871115,1.454,3.7633
1751,Ba2Fe6O11,0116531,12,0.68379136536491,6.322043292945554,4.322958615179313,-1.2626789622871115,1.454,3.5115
1795,Ba2Fe6O11,0116531,13,0.6265846202448613,6.322043292945554,3.9612950958818622,-1.2626789622871115,1.454,3.1182
1839,Ba2Fe6O11,0116531,14,0.6233819077685003,6.322043292945554,3.9410474089514516,-1.2626789622871115,1.454,3.138
1883,Ba2Fe6O11,0116531,15,0.6929115922304603,6.322043292945554,4.380617084264806,-1.2626789622871115,1.454,3.283
1927,Ba2Fe6O11,0116531,16,0.7025507579404943,6.322043292945554,4.441556307191517,-1.2626789622871115,1.454,3.277
1971,Ba2Fe6O11,0116531,17,0.7562580793079964,6.322043292945554,4.781096318025006,-1.2626789622871115,1.454,3.4571
2015,Ba2Fe6O11,0116531,18,0.7631443565451382,6.322043292945554,4.824631660845442,-1.2626789622871115,1.454,3.3609
2059,Ba2Fe6O11,0116531,19,0.8309372029977864,6.322043292945554,5.253220971071094,-1.2626789622871115,1.454,3.4095
2103,Ba2Fe6O11,0116531,20,0.8283447998441092,6.322043292945554,5.236831686100778,-1.2626789622871115,1.454,3.4512
2147,Ba2Fe6O11,0116531,21,0.6295771232274852,6.322043292945554,3.9802138292922793,-1.2626789622871115,1.454,3.5861
2191,Ba2Fe6O11,0116531,22,0.5911358038810294,6.322043292945554,3.737186144146041,-1.2626789622871115,1.454,3.3964
2235,Ba1Mn3O6,0117270,1,0.7903454316691034,7.929325649790304,6.266906303528411,-0.433744681701679,0.0939,1.8772
2236,Ba1Mn3O6,0117270,1,0.7903454316691034,7.929325649790304,6.266906303528411,-0.5156224113418986,0.0939,1.8772
2245,Ba1Mn3O6,0117270,1,0.7903454316691034,7.929325649790304,6.266906303528411,,0.0939,1.8772
2247,Ba1Mn3O6,0117270,2,0.8034447100326951,7.929325649790304,6.370774747450581,-0.433744681701679,0.0939,1.7261
2248,Ba1Mn3O6,0117270,2,0.8034447100326951,7.929325649790304,6.370774747450581,-0.5156224113418986,0.0939,1.7261
2257,Ba1Mn3O6,0117270,2,0.8034447100326951,7.929325649790304,6.370774747450581,,0.0939,1.7261
2259,Ba1Mn3O6,0117270,3,0.8202004348543869,7.929325649790304,6.50363634606005,-0.433744681701679,0.0939,1.5426
2260,Ba1Mn3O6,0117270,3,0.8202004348543869,7.929325649790304,6.50363634606005,-0.5156224113418986,0.0939,1.5426
2269,Ba1Mn3O6,0117270,3,0.8202004348543869,7.929325649790304,6.50363634606005,,0.0939,1.5426
2271,Ba1Mn3O6,0117270,4,0.8145249621847832,7.929325649790304,6.458633675046278,-0.433744681701679,0.0939,1.5668
2272,Ba1Mn3O6,0117270,4,0.8145249621847832,7.929325649790304,6.458633675046278,-0.5156224113418986,0.0939,1.5668
2281,Ba1Mn3O6,0117270,4,0.8145249621847832,7.929325649790304,6.458633675046278,,0.0939,1.5668
2283,Ba1Mn3O6,0117270,5,0.6922919248170497,7.929325649790304,5.489408116594532,-0.433744681701679,0.0939,1.4805
2284,Ba1Mn3O6,0117270,5,0.6922919248170497,7.929325649790304,5.489408116594532,-0.5156224113418986,0.0939,1.4805
2293,Ba1Mn3O6,0117270,5,0.6922919248170497,7.929325649790304,5.489408116594532,,0.0939,1.4805
