,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,merge_on,valence,bv_sum_Crystal,bv_sum_nn,BVS_ratio,vr_max,Eb_sum
3490,LiInSiO4,LiInSiO4_Va_O3,3.0281,-2.6540285472619045,1.9401956693506897,2.154711932666509,2.3479846859616145,2,107,LiInSiO4_Va_O3107,-2.0,-1.955506742035523,-1.955506742035523,0.9777533710177616,-1.5993795332042406,9.485764526856537
3493,LiSb3O8,LiSb3O8_Va_O1,1.1262,-1.960145810277778,2.5763752285228496,2.7469254629996245,3.548756499999977,0,47,LiSb3O8_Va_O147,-2.0,-2.25752632856245,-2.25752632856245,1.128763164281225,-0.5208045461292565,7.145936060834188
3496,LiSb3O8,LiSb3O8_Va_O1,1.1262,-1.960145810277778,2.5763752285228496,2.7469254629996245,1.849254780928932,1,47,LiSb3O8_Va_O147,-2.0,-2.25752632856245,-2.25752632856245,1.128763164281225,-0.5208045461292565,7.145936060834188
3499,LiSb3O8,LiSb3O8_Va_O1,1.1262,-1.960145810277778,2.5763752285228496,2.7469254629996245,0.0197348816512525,2,47,LiSb3O8_Va_O147,-2.0,-2.25752632856245,-2.25752632856245,1.128763164281225,-0.5208045461292565,7.145936060834188
3502,LiSb3O8,LiSb3O8_Va_O2,1.1262,-1.960145810277778,2.7927754650524235,3.559907060411964,4.805076799999947,0,63,LiSb3O8_Va_O263,-2.0,-2.3211214814769336,-2.3211214814769336,1.1605607407384668,-0.5208045461292565,8.397237702828338
3504,LiSb3O8,LiSb3O8_Va_O2,1.1262,-1.960145810277778,2.7927754650524235,3.559907060411964,-0.8653054829613551,2,63,LiSb3O8_Va_O263,-2.0,-2.3211214814769336,-2.3211214814769336,1.1605607407384668,-0.5208045461292565,8.397237702828338
3506,LiSb3O8,LiSb3O8_Va_O3,1.1262,-1.960145810277778,2.5571000482100716,2.735852057888418,3.753090139999935,0,79,LiSb3O8_Va_O379,-2.0,-2.3391260967993364,-2.3391260967993364,1.1695630483996682,-0.5208045461292565,7.404230601642928
3509,LiSb3O8,LiSb3O8_Va_O3,1.1262,-1.960145810277778,2.5571000482100716,2.735852057888418,2.0184643231303534,1,79,LiSb3O8_Va_O379,-2.0,-2.3391260967993364,-2.3391260967993364,1.1695630483996682,-0.5208045461292565,7.404230601642928
3512,LiSb3O8,LiSb3O8_Va_O3,1.1262,-1.960145810277778,2.5571000482100716,2.735852057888418,0.100802340047728,2,79,LiSb3O8_Va_O379,-2.0,-2.3391260967993364,-2.3391260967993364,1.1695630483996682,-0.5208045461292565,7.404230601642928
3515,LiSb3O8,LiSb3O8_Va_O4,1.1262,-1.960145810277778,2.5187492582146556,2.795003904936185,3.961730699999984,0,95,LiSb3O8_Va_O495,-2.0,-2.4372010367734345,-2.437201036773434,1.2186005183867172,-0.5208045461292565,7.714675375357411
3518,LiSb3O8,LiSb3O8_Va_O4,1.1262,-1.960145810277778,2.5187492582146556,2.795003904936185,2.220868413031444,1,95,LiSb3O8_Va_O495,-2.0,-2.4372010367734345,-2.437201036773434,1.2186005183867172,-0.5208045461292565,7.714675375357411
3521,LiSb3O8,LiSb3O8_Va_O4,1.1262,-1.960145810277778,2.5187492582146556,2.795003904936185,0.3079623590763627,2,95,LiSb3O8_Va_O495,-2.0,-2.4372010367734345,-2.437201036773434,1.2186005183867172,-0.5208045461292565,7.714675375357411
3524,LiSbO3,LiSbO3_Va_O1,2.3049999999999997,-2.118194097166666,2.185232051394197,2.4652643178020996,4.270184690000301,0,359,LiSbO3_Va_O1359,-2.0,-2.217801738869177,-2.217801738869177,1.1089008694345883,-0.5208045461292565,8.691416563223099
3527,LiSbO3,LiSbO3_Va_O1,2.3049999999999997,-2.118194097166666,2.185232051394197,2.4652643178020996,2.2580275770608704,1,359,LiSbO3_Va_O1359,-2.0,-2.217801738869177,-2.217801738869177,1.1089008694345883,-0.5208045461292565,8.691416563223099
3530,LiSbO3,LiSbO3_Va_O1,2.3049999999999997,-2.118194097166666,2.185232051394197,2.4652643178020996,0.2658743965471202,2,359,LiSbO3_Va_O1359,-2.0,-2.217801738869177,-2.217801738869177,1.1089008694345883,-0.5208045461292565,8.691416563223099
3533,LiSbO3,LiSbO3_Va_O2,2.3049999999999997,-2.118194097166666,2.239950188964073,2.6229005923662303,4.159277680000182,0,287,LiSbO3_Va_O2287,-2.0,-2.2156734004654677,-2.2156734004654677,1.1078367002327338,-0.5208045461292565,8.683075747482025
3536,LiSbO3,LiSbO3_Va_O2,2.3049999999999997,-2.118194097166666,2.239950188964073,2.6229005923662303,2.37227196752787,1,287,LiSbO3_Va_O2287,-2.0,-2.2156734004654677,-2.2156734004654677,1.1078367002327338,-0.5208045461292565,8.683075747482025
3539,LiSbO3,LiSbO3_Va_O2,2.3049999999999997,-2.118194097166666,2.239950188964073,2.6229005923662303,0.158361908165729,2,287,LiSbO3_Va_O2287,-2.0,-2.2156734004654677,-2.2156734004654677,1.1078367002327338,-0.5208045461292565,8.683075747482025
3542,Mg(GaO2)2,Mg(GaO2)2_Va_O1,2.6435999999999997,-2.5373796199999994,2.057437557842043,2.164471286507033,5.6557862899999325,0,111,Mg(GaO2)2_Va_O1111,-2.0,-1.9284240811946856,-1.9284240811946856,0.9642120405973428,-1.8812876656363955,8.089668367150836
3545,Mg(GaO2)2,Mg(GaO2)2_Va_O1,2.6435999999999997,-2.5373796199999994,2.057437557842043,2.164471286507033,3.6380664887006926,1,111,Mg(GaO2)2_Va_O1111,-2.0,-1.9284240811946856,-1.9284240811946856,0.9642120405973428,-1.8812876656363955,8.089668367150836
3548,Mg(GaO2)2,Mg(GaO2)2_Va_O1,2.6435999999999997,-2.5373796199999994,2.057437557842043,2.164471286507033,1.568397404266948,2,111,Mg(GaO2)2_Va_O1111,-2.0,-1.9284240811946856,-1.9284240811946856,0.9642120405973428,-1.8812876656363955,8.089668367150836
3551,Mg(GaO2)2,Mg(GaO2)2_Va_O2,2.6435999999999997,-2.5373796199999994,2.164791428412206,2.4422308896483296,5.611477139999929,0,95,Mg(GaO2)2_Va_O295,-2.0,-1.7494205942579777,-1.7494205942579777,0.8747102971289887,-1.8812876656363955,7.991798117970925
3554,Mg(GaO2)2,Mg(GaO2)2_Va_O2,2.6435999999999997,-2.5373796199999994,2.164791428412206,2.4422308896483296,3.1698068775387283,1,95,Mg(GaO2)2_Va_O295,-2.0,-1.7494205942579777,-1.7494205942579777,0.8747102971289887,-1.8812876656363955,7.991798117970925
3557,Mg(GaO2)2,Mg(GaO2)2_Va_O2,2.6435999999999997,-2.5373796199999994,2.164791428412206,2.4422308896483296,0.5316895875623331,2,95,Mg(GaO2)2_Va_O295,-2.0,-1.7494205942579777,-1.7494205942579777,0.8747102971289887,-1.8812876656363955,7.991798117970925
3560,Mg(SbO2)2,Mg(SbO2)2_Va_O1,2.3566000000000003,-2.1705149424999997,2.247257477502938,2.5266811950259194,4.938437779999967,0,79,Mg(SbO2)2_Va_O179,-2.0,-1.8507179548931711,-1.9238158477436835,0.9253589774465856,-1.2369755737418262,6.386849654224071
