,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,vac_rerun,E_vac_rerun,Unnamed: 20,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,site,group,poscar_name,E_vac_min,minimum
361,379,group_13_metal_oxides,Tl4O3,P2_1__m,-471.61422602,6.0,,,,s10_0,-60.0%,-2821.81364136,1.4402,,,,,,,,,,-2829.68535612,,1.941234690000032,1.4402,higher_symmetry,s10_0,Tl4O3_P2_1__m_s10_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,-2821.81364136,True
372,393,group_13_metal_oxides,In2O3,Ia-3,-578.67896193,4.0,,,,s16_0,40.0%,-2305.42613765,1.3743999999999996,,,,,,,True,-2304.63321339,,-2314.71584772,,4.152154260000019,1.3743999999999996,higher_symmetry,s16_0,In2O3_Ia-3_s16_0,group_13_metal_oxides_In2O3_Ia-3_higher_symmetry,-2305.42613765,True
373,394,group_13_metal_oxides,In2O3,Ia-3,-578.67896193,4.0,,,,s16_0,40.0%,-2305.42613765,1.3743999999999996,,,,,,,,,,-2314.71584772,,3.359230000000183,1.3743999999999996,higher_symmetry,s16_0,In2O3_Ia-3_s16_0,group_13_metal_oxides_In2O3_Ia-3_higher_symmetry,-2305.42613765,True
382,405,group_13_metal_oxides,Tl2O,R-3m,,,16.0,-228.7277975,,,,,,s5_0,-20.0%,-3649.82498972,0.5219999999999994,0.0,0.5717000000000003,True,-3650.9527041,,,-3659.64476,2.761575830000014,0.5219999999999994,rattle,s5_0,Tl2O_R-3m_s5_0,group_13_metal_oxides_Tl2O_R-3m,-3649.82498972,True
383,406,group_13_metal_oxides,Tl2O,R-3m,,,16.0,-228.7277975,,,,,,s5_0,-20.0%,-3649.82498972,0.5219999999999994,0.0,0.5717000000000003,,,,,-3659.64476,3.8892902100002846,0.5219999999999994,rattle,s5_0,Tl2O_R-3m_s5_0,group_13_metal_oxides_Tl2O_R-3m,-3649.82498972,True
397,420,group_13_metal_oxides,Tl2O,R-3m,,,16.0,-228.7277975,,,,,,s4_0,-50.0%,-3649.82390521,0.5200000000000005,0.0,0.5717000000000003,True,-3650.95226141,,,-3659.64476,2.762018520000014,0.5200000000000005,rattle,s4_0,Tl2O_R-3m_s4_0,group_13_metal_oxides_Tl2O_R-3m,-3649.82390521,True
398,421,group_13_metal_oxides,Tl2O,R-3m,,,16.0,-228.7277975,,,,,,s4_0,-50.0%,-3649.82390521,0.5200000000000005,0.0,0.5717000000000003,,,,,-3659.64476,3.89037472000034,0.5200000000000005,rattle,s4_0,Tl2O_R-3m_s4_0,group_13_metal_oxides_Tl2O_R-3m,-3649.82390521,True
406,429,group_13_metal_oxides,Tl2O3,Ia-3,-1025.9401739,4.0,,,,s16_0,50.0%,-4098.52587551,1.2872,,,,,,,True,-4097.65664577,,-4103.7606956,,0.17356975999989466,1.2872,higher_symmetry,s16_0,Tl2O3_Ia-3_s16_0,group_13_metal_oxides_Tl2O3_Ia-3_higher_symmetry,-4098.52587551,True
407,430,group_13_metal_oxides,Tl2O3,Ia-3,-1025.9401739,4.0,,,,s16_0,50.0%,-4098.52587551,1.2872,,,,,,,,,,-4103.7606956,,-0.6956599800003698,1.2872,higher_symmetry,s16_0,Tl2O3_Ia-3_s16_0,group_13_metal_oxides_Tl2O3_Ia-3_higher_symmetry,-4098.52587551,True
432,457,group_13_metal_oxides,Al2O3,R-3c,,,18.0,-96.26938966,,,,,,s4_0,10.0%,-1719.27885237,4.7003,0.0,5.853700000000001,True,-1719.36450443,,,-1732.84901388,7.554029380000133,4.7003,rattle,s4_0,Al2O3_R-3c_s4_0,group_13_metal_oxides_Al2O3_R-3c,-1719.27885237,True
433,458,group_13_metal_oxides,Al2O3,R-3c,,,18.0,-96.26938966,,,,,,s4_0,10.0%,-1719.27885237,4.7003,0.0,5.853700000000001,,,,,-1732.84901388,7.639681439999935,4.7003,rattle,s4_0,Al2O3_R-3c_s4_0,group_13_metal_oxides_Al2O3_R-3c,-1719.27885237,True
443,468,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s18_0,-60.0%,-753.90603054,3.9857,,,,,,,True,-754.69769504,,-768.03725776,,7.409082650000004,3.9857,higher_symmetry,s18_0,Al2O3_Pna2_1_s18_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.90603054,True
444,469,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s18_0,-60.0%,-753.90603054,3.9857,,,,,,,,,,-768.03725776,,8.200747150000028,3.9857,higher_symmetry,s18_0,Al2O3_Pna2_1_s18_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.90603054,True
455,480,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s19_0,40.0%,-754.41286121,5.05,,,,,,,True,-755.24480665,,-768.03725776,,6.861971040000002,5.05,higher_symmetry,s19_0,Al2O3_Pna2_1_s19_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-754.41286121,True
456,481,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s19_0,40.0%,-754.41286121,5.05,,,,,,,,,,-768.03725776,,7.693916480000029,5.05,higher_symmetry,s19_0,Al2O3_Pna2_1_s19_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-754.41286121,True
469,494,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s16_0,40.0%,-754.06940511,4.640199999999999,,,,,,,True,-754.87164287,,-768.03725776,,7.235134820000029,4.640199999999999,higher_symmetry,s16_0,Al2O3_Pna2_1_s16_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-754.06940511,True
470,495,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s16_0,40.0%,-754.06940511,4.640199999999999,,,,,,,,,,-768.03725776,,8.037372579999941,4.640199999999999,higher_symmetry,s16_0,Al2O3_Pna2_1_s16_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-754.06940511,True
476,501,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s21_0,60.0%,-753.90539297,4.290400000000001,,,,,,,True,-754.72941665,,-768.03725776,,7.377361040000027,4.290400000000001,higher_symmetry,s21_0,Al2O3_Pna2_1_s21_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.90539297,True
477,502,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s21_0,60.0%,-753.90539297,4.290400000000001,,,,,,,,,,-768.03725776,,8.201384720000009,4.290400000000001,higher_symmetry,s21_0,Al2O3_Pna2_1_s21_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.90539297,True
494,519,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s17_0,-50.0%,-753.996535,4.722100000000001,,,,,,,True,-754.81654982,,-768.03725776,,7.290227870000011,4.722100000000001,higher_symmetry,s17_0,Al2O3_Pna2_1_s17_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.996535,True
495,520,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s17_0,-50.0%,-753.996535,4.722100000000001,,,,,,,,,,-768.03725776,,8.110242689999994,4.722100000000001,higher_symmetry,s17_0,Al2O3_Pna2_1_s17_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.996535,True
504,529,group_13_metal_oxides,Al2O3,Pna2_1,-384.01862888,2.0,,,,s28_0,60.0%,-753.92201983,4.436299999999999,,,,,,,True,-754.75452083,,-768.03725776,,7.352256859999942,4.436299999999999,higher_symmetry,s28_0,Al2O3_Pna2_1_s28_0,group_13_metal_oxides_Al2O3_Pna2_1_higher_symmetry,-753.92201983,True
